TAXA_PC,Taxa,traits,current_model,clockmodel,medianRate,varianceRate
TAXA_32_PCs_6,32,6,ULNC_FBD_skyline_age_uncertainty,ULNC,6.257616948562352e-4,2.7048125569315534e-6
TAXA_32_PCs_6,32,6,ULNC_FBD_skyline,ULNC,6.830406150869276e-4,3.4594042075212293e-6
TAXA_32_PCs_9,32,9,FBD_constant_rate_age_uncertainty,nCat,7.801331612455438e-5,0.0016038795951269034
TAXA_32_PCs_9,32,9,FBD_constant_rate_age_uncertainty_woffset,nCat,1.7152896257710825e-4,0.0018056730225018724
TAXA_32_PCs_9,32,9,FBD_constant_rates,nCat,6.743068438834745e-5,0.0014639848777322668
TAXA_32_PCs_9,32,9,FBD_skyline_age_uncertainty,nCat,0.0016232810603452963,0.0015453893351733768
TAXA_32_PCs_9,32,9,FBD_skyline,nCat,5.737964914324028e-5,0.002668529546876848
TAXA_32_PCs_9,32,9,ULNC_FBD_constant_rate_age_uncertainty,ULNC,4.293379947241411e-4,1.0995559949531883e-6
TAXA_32_PCs_9,32,9,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.0011708677714033664,7.993425735050718e-6
TAXA_32_PCs_9,32,9,ULNC_FBD_constant_rates,ULNC,4.101769227749515e-4,1.0249519421573458e-6
TAXA_32_PCs_9,32,9,ULNC_FBD_skyline_age_uncertainty,ULNC,4.2177620970199785e-4,1.2345348738597515e-6
TAXA_32_PCs_9,32,9,ULNC_FBD_skyline,ULNC,4.4986225848309705e-4,1.4139528481410564e-6
TAXA_60_PCs_10,60,10,FBD_constant_rate_age_uncertainty,nCat,6.197091949824609e-5,2.247230023656389e-4
TAXA_60_PCs_10,60,10,FBD_constant_rate_age_uncertainty_woffset,nCat,1.1010777312294589e-4,0.0020871577648545405
TAXA_60_PCs_10,60,10,FBD_constant_rates,nCat,1.139205749664041e-5,7.872571912572325e-4
TAXA_60_PCs_10,60,10,FBD_skyline_age_uncertainty,nCat,3.076112183852989e-5,0.0017752294578426068
TAXA_60_PCs_10,60,10,FBD_skyline,nCat,2.997566167981257e-5,0.00172570618125927
TAXA_60_PCs_10,60,10,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.0342917911277756e-4,1.4041777871854673e-7
TAXA_60_PCs_10,60,10,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,5.140284215201513e-4,2.961225193870446e-6
TAXA_60_PCs_10,60,10,ULNC_FBD_constant_rates,ULNC,1.02374334913203e-4,1.3769588258133625e-7
TAXA_60_PCs_10,60,10,ULNC_FBD_skyline_age_uncertainty,ULNC,2.0930705568216964e-4,6.099837154476369e-7
TAXA_60_PCs_10,60,10,ULNC_FBD_skyline,ULNC,2.0748607792573146e-4,5.915180053974945e-7
TAXA_60_PCs_2,60,2,FBD_constant_rate_age_uncertainty,nCat,0.0029822751824955594,0.002610913423277011
TAXA_60_PCs_2,60,2,FBD_constant_rate_age_uncertainty_woffset,nCat,2.87725698881934e-4,0.02220051332503308
TAXA_60_PCs_2,60,2,FBD_constant_rates,nCat,3.9089715301624076e-5,0.011186351985741097
TAXA_60_PCs_2,60,2,FBD_skyline_age_uncertainty,nCat,0.00429189499585838,0.00418271561185382
TAXA_60_PCs_2,60,2,FBD_skyline,nCat,2.7509782999677168e-5,0.01389174612762636
TAXA_60_PCs_2,60,2,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.0037062501465792872,3.9574830586548205e-4
TAXA_60_PCs_2,60,2,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.009783491325652581,0.0024706006720258957
