row_ID,Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax,Event
33,TS2,Feder,SS,SlotsengB,HolmRieck1992,AR,NA,TS2_Feder_SS_SlotsengB_HolmRieck1992_AR_na_1,TS2_Feder_SS_SlotsengB_HolmRieck1992_AR_na_1_pseudo_no_5,0.017854,2,2,9.26,55.33,4.24,1.36,3.79,9.45,4.25,2.48,0.13,0.264149663586798,2.2702888659682,2.534438529555,0.10422413505257801,14121,13894,14293,GI-1
34,TS12,EAzil,CH,AbriNeumuhle,Sedlmeier2015,AR,NA,TS12_EAzil_CH_AbriNeumuhle_Sedlmeier2015_AR_na_1,TS12_EAzil_CH_AbriNeumuhle_Sedlmeier2015_AR_na_1_pseudo_no_3,0.020201,1,2,7.327545,47.43983,3.74,1,2.63,8.09,3.75,2.44,0.11,0.391521659329899,2.16141153630516,2.55293319563506,0.15336149806008,13978,13794,14203,GI-1
35,TS12,LEpigrav,NEI,GrottaClusantin,PeresaniEtAl2008,AR,NA,TS12_LEpigrav_NEI_GrottaClusantin_PeresaniEtAl2008_AR_na_2,TS12_LEpigrav_NEI_GrottaClusantin_PeresaniEtAl2008_AR_na_2_pseudo_no_2,0.007491,1,2,12.88669,46.24509,2.41,0.66,1.29,5.43,2.41,2.43,0.12,0.46488886637989,2.13764715801389,2.60253602439378,0.178629176319732,13935,13607,14167,GI-1
36,TS2,Hav,NG,AhrenshoeftLA58d,Weberetal2010fig7,AR,D,TS2_Hav_NG_AhrenshoeftLA58d_Weberetal2010fig7_AR_d_1,TS2_Hav_NG_AhrenshoeftLA58d_Weberetal2010fig7_AR_d_1_pseudo_no_3,0.017695,2,2,9.069,54.559,3.42,0.74,1.66,7.27,3.42,2.15,0.06,0.202988984841511,2.12403995578477,2.32702894062628,0.087230967048858,13917,13805,14014,GI-1
37,TS12,EAzil,NF,LeCloseauLocus4,Bodu1998,AR,NA,TS12_EAzil_NF_LeCloseauLocus4_Bodu1998_AR_na_1,TS12_EAzil_NF_LeCloseauLocus4_Bodu1998_AR_na_1_pseudo_no_2,0.029584,1,2,2.158193,48.869548,4.79,1.52,5.03,10.87,4.79,2.5,0.14,0.556905481504357,2.19590919829767,2.75281467980203,0.202304021985384,13864,13094,14094,GI-1
38,TS2,LPal,SG,ZigeunerfelsDE,HornauerJahnkeNoack2019,AR,D,TS2_LPal_SG_ZigeunerfelsDE_HornauerJahnkeNoack2019_AR_d_1,TS2_LPal_SG_ZigeunerfelsDE_HornauerJahnkeNoack2019_AR_d_1_pseudo_no_11,0.018866,2,2,9.159282,48.087509,3.54,1.14,2.75,7.69,3.54,2.7,0.14,0.309203800217727,2.17968468548994,2.48888848570767,0.124233689855257,13773,13609,13988,GI-1
39,TS3,AFeder,GBS,PixiesHole,BartonandRoberts1996,AR,NA,TS3_AFeder_GBS_PixiesHole_BartonandRoberts1996_AR_na_1,TS3_AFeder_GBS_PixiesHole_BartonandRoberts1996_AR_na_1_pseudo_no_1,0.01176,3,3,-3.604429,50.596516,5.07,1.68,5.6,11.65,5.1,2.5,0.13,0.598694504675963,2.20891149431327,2.80760599898923,0.213240214222188,13771,13468,14045,GI-1
40,TS2,EMag,IBM,HortdelaBoquera,GarciaArgueellesetal2020,AR,NA,TS2_EMag_IBM_HortdelaBoquera_GarciaArgueellesetal2020_AR_na_1,TS2_EMag_IBM_HortdelaBoquera_GarciaArgueellesetal2020_AR_na_1_pseudo_no_1,0.017341,2,2,0.7561,41.2896,5.98,1.36,5.21,13.23,5.99,2.05,0.06,0.269373811874676,2.22358928033838,2.49296309221305,0.108053670235265,13725,13520,14155,GI-1
41,TS2,Feder,NG,Weitsche,Veil2012fig2,AR,P,TS2_Feder_NG_Weitsche_Veil2012fig2_AR_p_1,TS2_Feder_NG_Weitsche_Veil2012fig2_AR_p_1_pseudo_no_2,0.021183,2,2,11.1265,53.0275,5.08,1.24,4.21,11.03,5.09,2.19,0.08,0.386062098958166,2.14298963496988,2.52905173392804,0.152650929903496,13714,13506,13976,GI-1
42,TS2,PAzil,IBC,AntonKobaVIII,ArmendarizGutierrez1997,AR,NA,TS2_PAzil_IBC_AntonKobaVIII_ArmendarizGutierrez1997_AR_na_2,TS2_PAzil_IBC_AntonKobaVIII_ArmendarizGutierrez1997_AR_na_2_pseudo_no_24,0.02856,2,2,-2.41147,42.99996,2.07,0.54,0.86,4.5,2.07,2.42,0.11,0.06791264582354,2.22119779640257,2.28911044222611,0.029667701728492,13630,13312,13986,GI-1
